publishdate,content_id,title_en,difficulty,mealtype,diettype,cuisine,cooking_method,steps,ingredients,#ingredients,steps_length
2017-04-29,R702,Braised chicken with couscous,medium,main,non-vegetarian,african,"marinating,roasting,slow-cooking,steaming","Wash and dry chicken legs. Mix a part of rapeseed oil with honey until smooth. Add turmeric, cumin, cinnamon, spicy paprika, salt, and pepper. In a large bowl or a freezer bag, toss chicken legs in marinade. Seal or cover and marinate overnight in the refrigerator. Peel and slice onions and garlic. Remove chicken legs from marinade and carefully drain. Heat oil in the bottom of the tagine over medium-high heat. Add chicken legs, garlic, and onion and fry until deep golden-brown on all sides. Deglaze with some of the chicken stock. Place the lid on the tagine. Let simmer for approx. 80 min. In the meantime, wash bell peppers. Remove seeds and cut into strips. Rinse raisins under cold water. Add cut bell peppers, raisins, couscous, and remaining chicken stock to tagine, cover, and continue to simmer for approx. 10 min. Season with lemon juice, salt, and pepper. Garnish with parsley. Serve directly in the tagine. Enjoy!","['chicken legs', 'chicken stock (divided)', 'couscous', 'cumin', 'garlic', 'green bell pepper', 'honey', 'lemon juice', 'onions', 'parsley for garnish', 'pepper', 'raisins', 'rapeseed oil (divided)', 'red bell pepper', 'salt', 'spicy paprika', 'turmeric', 'yellow bell pepper']",18,158
2018-07-24,R1295,East African-style coconut chicken,medium,main,non-vegetarian,african,sauteing,"Debone the chicken legs and set the bones aside for later use. Chop chicken into chunks, season with half of the salt, and set aside in a bowl. Finely dice the onions and mince the ginger and garlic. Remove the ends of the bell peppers, cut out the inner core, and slice into chunks. Peel potatoes and cut into chunks. Zest and juice the lime, reserving the zest for serving. Set all the vegetables aside. Heat the oil a large pot set over medium-high heat. Sear the chicken pieces until golden brown, approx. 5 min. Remove from the pot and set aside. Add the reserved bones to the pan and fry for approx. 1 min. Add the onions, garlic, and ginger to the pot and sauté for approx. 2 min. with the chicken bones. Add the curry powder, cumin, coriander, garam masala, turmeric, and the cinnamon stick. Season with remaining salt, stir well, and cook approx. 2 min., or until fragrant. Drain canned crushed tomatoes. Add water, the drained tomatoes, coconut milk, lime juice, bell peppers, and potatoes to the pot and stir well. Cook, covered, for approx. 15 min. Remove chicken bones, add seared chicken back to the pan, and let cook, uncovered, for approx. 5 min. more. Garnish with lime zest, and serve alone, or with rice. Enjoy!","['canned crushed tomatoes', 'chicken legs', 'cinnamon', 'coconut milk', 'curry powder', 'garam masala', 'garlic', 'ginger', 'ground coriander', 'ground cumin', 'ground turmeric', 'lime (zest and juice)', 'onions', 'potatoes', 'red bell peppers', 'salt (divided)', 'vegetable oil', 'water']",18,220
2017-11-05,R943,Lamb and quince tagine,medium,main,non-vegetarian,african,,"Trim and cut lamb into medium-sized pieces. Peel, quarter, and core quinces. Cut quinces into medium-sized pieces. Peel and finely dice onion. Heat olive oil and butter in a tagine or large saucepan and sear meat and onions for approx. 2 min. Add quince, ginger, turmeric, cinnamon, and honey and let simmer for approx. 15 – 20 min., stirring occasionally. Season to taste with salt, pepper, and lime juice. Serve with sesame seeds and some yogurt, if desired. Garnish with cilantro and pomegranate seeds. Enjoy with rice!","['butter', 'cilantro for garnishing', 'ground cinnamon', 'ground ginger', 'ground turmeric', 'honey', 'lamb shoulder', 'lime (juice)', 'olive oil', 'onion', 'pepper', 'pomegranate seeds for garnishing', 'quinces', 'rice for serving', 'salt', 'sesame seeds', 'yogurt for serving']",17,87
2017-02-02,R574,Moroccan-inspired chickpea stew,easy,main,vegetarian,african,stewing,"Peel and finely dice onion and garlic. Peel carrots and sweet potatoes and cut into bite-size pieces. Deseed and dice bell pepper. Remove leaves and core from fennel and chop rest into small pieces. Wash kale, remove leaves from stems, and cut or tear into bite-size pieces. In a large pot, heat the olive oil over medium heat. Add onion and garlic and sear quickly. Lower heat, add all of the spices, and sauté for approx. 2 min. Add sweet potatoes, carrots, bell pepper and fennel and sauté for approx. 2 more min. Stir in water, vegetable stock, and tomatoes and bring to a boil. Reduce heat and let simmer for approx. 15 – 20 min. until sweet potatoes are softened, but still firm. Meanwhile, prepare quinoa according to package instructions, boiling it with the cider vinegar and some of the lemon juice. When little white rings begin to form around the grains, drain any excess water and set quinoa aside. Add chickpeas to stew and let simmer for approx. 10 min. Before serving, add kale and salt to taste. Serve with fresh herbs and lemon juice. Enjoy!","['apple cider vinegar (optional)', 'black pepper', 'canned chopped tomatoes', 'carrots', 'cayenne pepper', 'chickpeas (drained)', 'cumin', 'extra-virgin olive oil', 'fresh herbs (mint, parsley, or cilantro) for serving', 'garlic', 'ground cinnamon', 'ground coriander seeds', 'ground ginger', 'ground paprika', 'homemade vegetable stock concentrate', 'kale', 'lemon (juice, divided)', 'onion', 'quinoa', 'salt to taste', 'sea salt', 'small fennel', 'sweet potatoes', 'turmeric', 'water', 'yellow bell pepper']",26,188
2017-10-16,C27,Fudgy cardamom banana bread,medium,dessert,vegetarian,african,"baking,frying,glazing,oven","Boil oats together with cloves and cardamom. Remove spices and set aside. In a bowl, whisk together part of the butter, honey, whiskey, vanilla extract, and cinnamon. Add the mashed bananas and egg and combine by hand to maintain the lumpy texture. Continue stirring briskly by hand, combining the cooked oats, cream, sifted flour, pea protein, and bicarbonate of soda successively to obtain a sloppy batter. Let stand for 1 hr. Pre-heat oven to 170°C/340°F. Grease a bread pan and pour the batter in in one go. Crack open and remove the seeds of the cardamom pods used in the oats. In a small frying pan, toast the seeds and coconut (alternatively, use oats or roughly-chopped almonds) in butter. While warm, pour over the top of the bread. Bake in pre-heated oven at 170°C/340°F for approx. 1 hr. An inserted knife should come back sticky with banana sugar, but not wet or covered in batter. Allow to cool on a cooling rack for 1 hr., then transfer immediately to an airtight container to prevent drying out.","['baking soda', 'bananas (overripe)', 'butter for greasing', 'butter (soft, divided)', 'cardamom pods', 'cinnamon', 'cloves', 'desiccated coconut', 'egg', 'heavy cream', 'honey', 'oats', 'pea protein', 'rye flour (stone-ground)', 'vanilla extract', 'whiskey']",16,176
2018-07-22,C180,Fried fish tacos,easy,main,non-vegetarian,american,frying,"In a small bowl, mix yogurt with Sriracha, and season with salt and pepper to taste. Juice lime and add some to the yogurt. Set aside. Thinly slice cabbage and radicchio and add to a bowl. Add apple cider vinegar, tossing to combine, and set aside. Slice fish filets into approx. 7.5-cm/3-in long strips. Add two-thirds of the rice flour to a bowl with sparking water. Whisk together with baking soda, oregano, salt, and pepper. Heat vegetable oil in a large frying pan. Coat fish in the batter then dredge fish in remaining rice flour for an extra flaky texture. Fry in the hot oil until golden brown and cooked through. Drain fish on a wire rack set over an aluminum foil-lined baking sheet. Warm corn tortillas in another frying pan. To assemble, lay 3 pieces of fish over the tortillas. Drizzle the Sriracha sauce over, then top with sliced avocado, salsa, shredded cabbage and radicchio, and some lime juice. Serve warm!","['apple cider vinegar', 'avocado for serving', 'baking soda', 'cabbage', 'cod', 'corn tortillas for serving', 'dried oregano', 'lime (juice, divided)', 'non-fat Greek yogurt', 'pepper', 'radicchio', 'rice flour (divided)', 'salsa for serving', 'salt', 'sparkling water', 'Sriracha', 'vegetable oil for frying']",17,162
2015-11-26,R349,Leftover turkey sandwich with cranberry sauce,easy,others,non-vegetarian,american,,"Core apple and cut into thin slices. Shred turkey. Cut ciabatta in half lengthwise. Slather mayonnaise on bottom half of ciabatta. Distribute apple slices and turkey. Drape cranberry sauce over the top, cover with top half of ciabatta, and enjoy!","['apple', 'ciabatta', 'cranberry sauce', 'mayonnaise', 'turkey (precooked)']",5,40
2018-05-20,C119,Mini lemon meringue cheesecakes,medium,dessert,vegetarian,american,"baking,blending","Crush the ginger snaps into fine crumbs with a food processor and add melted butter. Line the muffin tin with muffin liners, and push the mixture into the muffin liners to create crusts. Preheat the oven to 180°C/350°F. In a large bowl, mix the egg yolks, egg, lemon zest and juice, half of the sugar, mascarpone, cream cheese, and flour, until combined. Fill the muffin liners and bake for approx. 20 – 30 min. at 180°C/350°F or until golden on top. Once baked, let the cakes cool and remove the liners from the tin carefully. Set aside and let cool completely. Turn the oven down to 140°C/280°F. To make the meringue, whisk the egg whites (at room temperature) with some salt to soft peaks. Then add the remaining sugar and continue whisking until it forms stiff peaks. Pipe rounds approx. the same size as the cheesecakes onto a lined baking sheet. Bake for approx. 30 min. To assemble the cheesecakes, mix the lemon curd and heavy cream in a bowl and smooth over each little cheesecake, then place the meringues on top. Enjoy!","['butter (melted)', 'cream cheese', 'eggs (divided)', 'flour', 'ginger snaps', 'heavy cream', 'lemon curd', 'lemon (juice)', 'lemons (zest)', 'mascarpone cheese', 'salt', 'sugar (divided)']",12,183
2016-04-29,R415,American apple pie,medium,dessert,vegetarian,american,"baking,oven","Cut some of butter into large pieces and add to a stand mixer with most of flour, egg yolk, salt, and sugar. Beat for approx. 2 – 3 min. until crumbly. Then, slowly add water, reserving a small amount for the final step, and continue to beat for another 1 – 2 min. until dough is smooth and uniform in consistency. Wrap dough in plastic wrap and transfer to refrigerator. Allow to set for approx. 1 h. Preheat oven to 180°C/350°F. Cut dough into two even rounds. Then, flour work surface, place dough on top, and roll out, one at a time, using a rolling pin until rounds are larger than your pie dish. Flour both sides of dough and transfer to pie dish. Press evenly into all edges of dish and then remove excess dough. Place a piece of parchment paper on top of dish and fill with pie weights. Place in preheated oven at 180°C/350°F and blind bake for approx. 10 min. Peel, core, and quarter apples. Then, cut crosswise into medallion-sized pieces. In a large bowl, thoroughly mix together apple, lemon juice, cinnamon, nutmeg, flour, sugar, and brown sugar. Transfer apple slices to pie dish and spread out evenly. Cut remainder of butter into pieces and place on top of apples. Cover pie with rest of dough. Make a small hole in the middle, so air can escape. Mix together egg white and water and brush on top. Return to oven and bake at 180°C/350°F for approx. 50 – 55 min. until golden brown. Enjoy!","['all-purpose flour (divided)', 'apples', 'brown sugar', 'butter (cold, divided)', 'cinnamon', 'egg white', 'egg yolk', 'lemon', 'nutmeg', 'salt', 'sugar', 'water']",12,258
2017-07-08,R814,Freak shake,easy,dessert,non-vegetarian,american,,"Add heavy cream, cream of tartar, and vanilla sugar to a bowl and beat until stiff, using a stand mixer or hand mixer. Transfer whipped cream to a piping bag and let rest in the fridge. Wash and hull strawberries. Add strawberries, banana, some oft he vanilla ice cream, and milk to a blender and stir until combined. Pour mixture into a mason jar and crumble chocolate cookie on top. Add remaining vanilla ice cream. Spread chocolate-hazelnut spread around the rim of the glass and press m&ms onto it. Place in freezer for approx. 5 min. Skewer strawberries and mini doughnut each with a chocolate stick. Place doughnut on top of the freak shake and pipe whipped cream on it. Garnish with strawberries and mini doughnut on chocolate sticks, mini mallomars, and loppipops. Sprinkle chocolate chips and gummy bears on top. Enjoy!","['banana', 'chocolate chips', 'chocolate cookie', 'chocolate-hazelnut spread', 'chocolate sticks', 'cream of tartar', 'doughnut', 'gummy bears', 'heavy cream', 'lollipops', 'low-fat milk', 'mini doughnut', 'mini mallomars', 'm&ms', 'strawberries', 'strawberries for garnish', 'vanilla ice cream', 'vanilla sugar']",18,142
